InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1004321,1118080061903.0,20.5,0.45,231.82962,19.48218,55675.40689,0.0
1004321,1118080061903.0,20.17,0.31,231.82841000000002,19.48183,55597.51497999999,0.0
1004321,1118080061903.0,21.23,0.57,231.82885,19.4796,55597.52424,0.0
1004321,1118080061903.0,21.22,0.58,231.82862999999998,19.48236,55720.306,0.0
1004321,1118080061903.0,20.2,0.32,231.82907000000003,19.47949,55631.497189999995,0.0
1004321,1118080061903.0,21.25,0.59,231.82891,19.48226,55631.50759,0.0
1004321,1118080061903.0,21.14,0.57,231.82873999999998,19.48187,55650.48527000001,0.0
1004321,1118080061903.0,21.05,0.43,231.82867000000002,19.48193,55684.38215,0.0
1004321,1118080061903.0,20.77,0.37,231.82847,19.48209,55684.391939999994,0.0
1004321,1118080061903.0,19.38,0.21,231.82963999999998,19.48196,55701.355670000004,0.0
1004321,1118080061903.0,19.52,0.28,231.82877000000002,19.48152,55824.12612000001,0.0
1004321,1118080061903.0,20.97,0.49,231.82841000000002,19.48176,55927.536739999996,0.0
1004321,1118080061903.0,19.92,0.28,231.82824,19.48185,55980.529,0.0
1004321,1118080061903.0,20.39,0.37,231.82908999999998,19.48198,55987.43289,0.0
1004321,1118080061903.0,19.81,0.27,231.82852999999997,19.48214,55987.43863,0.0
1004321,1118080061903.0,19.97,0.29,231.82875,19.47953,55987.43863,1.0
1004321,1118080061903.0,20.26,0.32,231.82885,19.48215,56000.5013,0.0
1004321,1118080061903.0,20.57,0.33,231.8284,19.482039999999998,56014.433,0.0
1004321,1118080061903.0,20.54,0.32,231.82907999999998,19.4818,56014.44059,0.0
1004321,1118080061903.0,21.49,0.55,231.82858,19.48208,56014.45567,0.0
1004321,1118080061903.0,20.41,0.36,231.82852000000003,19.48165,56042.30108,0.0
1004321,1118080061903.0,20.44,0.35,231.82906,19.481920000000002,56062.375,0.0
1004321,1118080061903.0,19.66,0.2,231.82945,19.48006,56070.3265,0.0
1004321,1118080061903.0,21.15,0.43,231.82902,19.48174,56070.33341,0.0
1004321,1118080061903.0,20.21,0.26,231.82876000000002,19.48199,56070.34029,0.0
1004321,1118080061903.0,20.01,0.28,231.82921000000002,19.47938,56088.317989999996,0.0
1004321,1118080061903.0,20.42,0.36,231.82872999999998,19.48252,56367.46901,0.0
